영양소,분류,기능성,관련_증상,키워드,근거_수준,근거_설명,신뢰도,출처,출처_URL
비타민 C,비타민,항산화,피로,항산화,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 C,비타민,철 흡수,빈혈,철분,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 C,비타민,결합조직 형성,피부,콜라겐,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 D,비타민,뼈 건강,골 건강,칼슘,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 D,비타민,면역기능,면역력 저하,면역,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 E,비타민,항산화,노화,항산화,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 A,비타민,눈 건강,야맹증,시력,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 A,비타민,면역기능,면역력 저하,면역,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 K,비타민,혈액응고,출혈,혈액응고,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 K,비타민,뼈 건강,골 건강,뼈,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 B1,비타민,탄수화물 대사,피로,에너지,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 B2,비타민,에너지 생성,피로,활력,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
나이아신,비타민,에너지 생성,피로,활력,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
